AMVEND	AMNAME	AMADR1	AMADR2	AMADR3	AMTELE	AMFRGT	actual_term
81206	ADVANCE APPLIANCE SERVICE	1830 AIR LANE DR	STE 8	NASHVILLE TN 37210	6158848428	0	NET  
81207	TENNESSEE GLASS	651 THOMPSON LANE		NASHVILLE TN 37204	0	0	1%10TH PROX
81208	NORTHSTAR	417 N BLYTHE ST		GALLATIN TN 37066	6157323651	0	NET  
81212	USF HOLLAND	27052 NETWORK PLACE		CHICAGO IL 60673-1270	6163955000	0	NET
81216	DESIGNERS CHOICE CABINETRY	100 TGK CIRCLE		ROCKLEDGE FL 32955	3202528204	0	2% 10Days NET 30Days
81218	JACK FLEISCHER 1996 IRRE TRUST	ATTN RON MILLS, CPA, CFP 	PO BOX 210379	NASHVVILLE,TN 37221      	6158433300	0	NET
81219	BONUS BUILDING CARE	810 DIVISION ST		NASHVILLE TN 37203	6153322099	0	NET 30Days
81220	QUALITY CUSTOM CABINETRY	P O BOX 189	NEW HOLLAND, PA  17557   		7176562721	0	NET
81221	ALT CTI	P O BOX 17544		CLEARWATER FL 33762	7709260800	0	NET
81222	DONE RIGHT ELECTRIC	P O BOX 160940	NASHVILLE TN 37216		6152620057	0	NET
81224	RELIANCE STANDARD LIFE INSUR	P O BOX 3124	SOUTHEASTERN, PA         	19398-3124	8006441103	0	NET
81225	A H & L	1740 BROADWAY	DEPARTMENT 769	DENVER CO 80274	7329804296	0	NET
81227	VELOCITY TRUCK CENTERS	DEPT 8800097	P O BOX 29650	PHOENIX,AZ  85038-9650   	6152448900	0	NET 30Days
81228	WALKER LUMBER & HARDWARE	523 THOMPSON LN	NASHVILLE, TN 37211      		6152543344	0	1%10TH PROX
81229	JACK D. FLEISCHER	533 LAFAYETTE  ST		NASHVILLE TN 37203	6158433300	0	NET
81230	BLUE CROSS BLUE SHIELD OF TN	RECEIPTS DEPARTMENT	P O BOX 6539	CAROL STREAM IL60197-6539	4237526559	0	NET
81232	TRADITIONS IN TILE	2548 BRANSFORD AVE	NASHVILLE TN 37204		6152699669	0	NET 30Days
81233	D K TILE	4193 HWY 96	BURNS TN 37029		6154419991	0	NET
81236	AUTOMATION TEMPORARY SERVICE	P O BOX 830941		BIRMINGHAM AL 35283	8378287000	0	NET
81237	RALPH MILLER	713 FOUNTAINWOOD BLVD	FRANKLIN TN 37064		0	0	NET
81238	BYTES OF KNOWLEDGE INC	1212 6TH AVE NO		NASHVILLE TN 37208	6153839005	0	NET
81240	TELCOVE	P O BOX 932556	ATLANTA GA 31193-2556		0	0	NET
81243	ENTERPRISE RENT A CAR	ATTN ACCTS RECEIVABLE	209 SEABOARD LANE	FRANKLIN TN 37067-8244	6157715699	0	NET
81244	A & F ELECTRIC	2711A LANDERS AVE	NASHVILLE TN 37211		6152444443	0	NET
81246	CHATTANOOGA WOOD PRODUCTS	P O BOX 9280	CHATTANOOGA TN	37412-92809	7068912000	0	NET 30Days
81247	ARCHWAY MARKETING SERVICES	WHIRLPOOL PROM - DEPT 730	P O BOX 808	WAYNE MI 48184	8006433444	0	NET
81249	MT PLEASANT TRANSFER	P O BOX 467	MT PLEASANT TN 38474		9313795521	0	NET
81250	KEYSTONE DEDICATED LOGISTICS	P O BOX 645069		PITSBURG PA 15264-5069	0	0	END OF MONTH
81251	OFFICE MAX	P O BOX 9020	DES MOINES IA 50368-9020		8002837674	0	NET 10Days
