IMDESC,ITMDSC,PRICCD,IMLIST,IMTCST,GROUP,IMSTYL,IMSER,IMRANK,IMGEN,IMXRBC,IMVND,ITEM,IMMCST
1-35W T4 7X18 AC SCONCE        ,                                        ,0,437.5,119,24,JK, ,9,52529347,                    ,20525,6491AC                                  ,119
1C-60W 5X9 CH CRYSTAL SCONCE   ,                                        ,0,165.6,52.37,24,JL, ,7,52700541,                    ,20527,8351CH-C                                ,47.3
1M-100W 5X8 TI SCONCE          ,                                        ,0,59,17.5,24,JK, ,7,53200631,98197746290,10532,F5251-26                                ,16.95
"4"" EXTENSION FOR NUDE TAPE LIGH",T                                       ,0,9,2.5,22,IW, ,9,53300085,                    ,20533,EXT-4IN-U                               ,0.5
4IN CONNECTOR                  ,                                        ,0,12.5,5,22,IW, ,7,53300423,                    ,20533,V4-EXT-4IN-1WR-BLK                      ,5
1FT EXTENSION                  ,                                        ,0,21,6,68,IK, ,7,53300481,                    ,20533,V4-EXT-1FT-1WR-BLK                      ,6
2IN CONNECTOR                  ,                                        ,0,12.5,5,22,IW, ,7,53300605,                    ,20533,V4-EXT-2IN-1WR-BLK                      ,5
60W MLV DIMMABLE DRIVER        ,                                        ,0,201,74.5,22,IP, ,7,53300960,                    ,20533,DR-60W-24VDC-120V-2-MLV-M               ,100.5
LEDI QUOTE 14725               ,                                        ,0,315.4,157.4,22,IW, ,7,53301934,                    ,20533,QUOTE 14725                             ,157.4
ONE FOOT V5 STANDARD BRIGHT 3K ,CUSTOM LENGTH                           ,0,12.76,7.09,22,IW, ,7,53302099,                    ,20533,V5-STND-B-30-CUSTOM                     ,7.09
V5 CONNECTOR 10FT.             ,                                        ,0,29,10.79,22,IW, ,8,53302106,                    ,20533,V5-CON-HW-10                            ,14.5
V5-SPEC-75-30-100  (1FT.)      ,                                        ,0,37.98,17.09,22,IW, ,3,53302172,                    ,20533,V5-SPEC-75-30-100                       ,17.09
V5-STND-B-30-100 (1FT)         ,                                        ,0,19,5.48,22,IW, ,8,53302198,                    ,20533,V5-STND-B-30-100                        ,9.5
V5-STND-SB-30-100 (1 FT.)      ,                                        ,0,19.9,8.96,22,IW, ,3,53302213,                    ,20533,V5-STND-SB-30-100                       ,8.96
V5 CONNECTOR 25 FT.            ,                                        ,0,47,15.56,22,IW, ,8,53302247,                    ,20533,V5-CON-HW-25                            ,23.5
4IN EXTENSION                  ,                                        ,0,31,9.53,22,IW, ,3,53302263,                    ,20533,V5-EXT-4IN                              ,10.59
3 FT. EXTENSION                ,                                        ,0,35,11.51,22,IW, ,3,53302289,                    ,20533,V5-EXT-3FT                              ,12.79
6FT SLIM CHANNEL               ,                                        ,0,47,17.09,22,IW, ,7,53302304,                    ,20533,CH1-SLM-6                               ,23.5
1 FT 500LM 3K TAPE             ,                                        ,0,39,14.93,22,IW, ,7,53302346,                    ,20533,V5-SPEC-50-30-CUSTOM                    ,14.93
3FT SLIM ALUMINUM CHANNEL      ,                                        ,0,13.38,6.69,22,IW, ,7,53302362,                    ,20533,CH1-SLM-3                               ,6.69
V5-SPEC-28-27-CUSTOM           ,                                        ,0,22.5,11.03,22,IW, ,8,53302487,                    ,20533,V5-SPEC-28-27-CUSTOM                    ,15.5
6FT CHANNEL KIT                ,                                        ,0,134,67,22,IW, ,7,53302502,                    ,20533,CH1-KIT-REC-FR-6                        ,67
3FT KIT ANGLED FROSTED LENS    ,                                        ,0,25.92,11.66,22,IW, ,7,53302619,                    ,20533,CH1-KIT-ANG-FR-3                        ,11.66
6FT KIT ANGLED FROSTED LENS    ,                                        ,0,118,31.01,22,IW, ,7,53302627,818146023643,20533,CH1-KIT-ANG-FR-6                        ,31.01
1 FT OF V5 1.5W 27K TAPE       ,                                        ,0,21.98,9.89,22,IW, ,7,53302635,                    ,20533,V5 SPEC 15 27 CUSTOM                    ,9.89
6FT SLIM KIT FROSTED           ,                                        ,0,93,28.67,22,IW, ,7,53302677,818146023612,20533,CH1-KIT-SLM-FR-6                        ,28.67
V5-SPEC-15-27-100              ,                                        ,0,1998,999,22,IW, ,7,53302750,                    ,20533,V5-SPEC-15-27-100                       ,999
2700K 5W TAPE LIGHT (PER FOOT) ,                                        ,0,33.18,16.59,22,IR, ,7,53302859,                    ,20533,V5-SPEC-50-27-CUSTOM                    ,16.59
96W DIMMABLE DRIVER            ,                                        ,0,222,111,22,IP, ,7,53303245,                    ,20533,DR-96W-24V-DIMALL                       ,111
"LED WALLPACK, 45W, 6100L, 40K  ",                                        ,0,167,99.5,68,IK, ,7,54101101,                    ,50909,E110X-45-VS-4K-BR                       ,99.5
REPL TERESA BELL GLASS FOR     ,FIXTURE 60/7152                         ,0,168,0,15,GD, ,7,54200614,                    ,20439,25/1580                                 ,84
4FT 1LT 40W FLUOR STRIP T12    ,                                        ,0,17.08,7.22,12,EQ, ,3,54700250,78531840259,20547,CH4140L-120                             ,10.25
LENS ONLY FOR W140 AND W240 4' ,#8092056                                ,0,12.95,6.45,0,Z7, ,3,54701951,                    ,20547,W140LENS                                ,5.2
LENS ONLY AWN240A 4'(AWN4-LEN) ,(# CY8092746-000000 )                   ,0,16.6,7.3,12,EP,N,3,54702032,78531001148,20547,AWN2LENS ONLY                           ,7.3
LENS ONLY FOR AWW440A          ,                                        ,0,22.1,11.05,0,Z7,N,3,54702040,78531001155,20547,AWW440A-LENS                            ,11.05
LENS ONLY FOR J240A 1X4 LAY-IN ,                                        ,0,10,0,0,Z7,N,3,54702066,                    ,20547,J240A-LENS                              ,5
2X4 2 BLST 4-T8 W/741 LAMPS    ,                   QUOTE # FSN20-93359-2,0,120.6,147.17,0,Z7,N,7,54705440,                    ,20547,JT824432GFSA12EUFO841                   ,107.16
2X4 2 BALLAST 2-T8 W/741 LAMPS ,& INSTALLED EM                          ,0,298,72,12,EQ,N,7,54705622,                    ,20547,JT824232GFSA1211EUFO841EL               ,100
2X4 2 BALLAST 3-T8 W/741 LAMPS ,& INSTALLED EM                          ,0,298,72,12,EQ,N,2,54705630,                    ,20547,JT824332GFSA12EUFO841EL                 ,100
2X4 2 BALLAST 3-T8 W/741 LAMPS ,                                        ,0,228,40,12,EQ,N,3,54705648,                    ,20547,JT824332GFSA12EUFO841                   ,100
2X4 FLUOR 2-F32T8 GRID MOUNT   ,ACRYLIC LENS 120-277V DUAL BALLAST      ,0,125,66.91,83,AA,N,7,54705846,                    ,20547,ST824-232G-FSA12125-ESDU                ,66.91
2 X 4 FLUOR 2F32T8 FLANGE MT   ,PRIZ LENS UNV W/ EM                     ,0,236,189.32,0,Z7,N,7,54705953,                    ,20547,ST824-232F-FSA12125-EU-EL141            ,210
4' STAIRWELL LUMINAIRE 3K      ,                                        ,0,329.5,164.75,9,DU, ,7,54706365,                    ,20547,ESL-4-30-ML-FA-W-ED-U                   ,164.75
ANT FORGE/BRUSHED STEEL/1-60B10,WALL SCONCE/ CLEAR GLASS                ,0,155,53.55,0,Z7,N,8,56622618,                    ,20566,WB1560AF-BS                             ,53.55
24X32 ORB MIRROR               ,                                        ,0,319.98,137.13,27,IJ, ,7,56624698,                    ,20566,MR1119ORB                               ,152.37
1C-60W 4X7 SCONCE              ,                                        ,0,69.25,24.3,24,JK, ,9,56626355,                    ,20566,WB1755CHKW/BW                           ,24.5
1M-60W 6X13 BS PENDANT         ,                                        ,0,180.92,81.41,16,HD, ,4,56626818,14817524697,20566,P1310BS                                 ,90.46
REPLACEMENT GLASS FOR          ,WB1560AF-BS                             ,0,64.8,12.56,0,Z7,N,9,56626983,                    ,20566,120475,13.95
1M 100W 8X25 OUTDOOR WALL      ,                                        ,0,342.82,109.5,10,DW, ,7,56627080,14817540154,20566,OL10602DWZ                              ,171.41
2 LIGHT VANITY FIXTURE MED BASE,WHITE OPAL GLASS BRUSHED STEEL          ,0,297.68,85.05,0,Z7,N,9,56627460,                    ,20566,VS14902-BS                              ,85.05
6C 60W 28X35 FWO/DWW CHANDELIER,                                        ,0,638.06,196.29,16,H4, ,7,56627676,14817569612,20566,F3132/6FWO/DWW                          ,319.03
2M 60W 13X6 ORB FLUSH MOUNT    ,                                        ,0,282.9,53.34,13,FK, ,8,56627733,14817534801,20566,FM393ORB                                ,141.45
ONE LIGHT MINI LUMIERE PENDANT ,OIL RUBBED BRONZE                       ,0,0,160.2,0,Z7,N,9,56628377,                    ,20566,P1326DWO/ORB                            ,178
1M 100W 10X10 BS MINI PENDANT  ,                                        ,0,164.98,57,16,HL, ,7,56628541,14817477825,20566,P1253BS                                 ,57
6C 60W 25X36 WOW/AF FOYER LIGHT,                                        ,0,761.88,380.94,16,HO, ,7,56628567,14817574104,20566,F3192/6WOW/AF                           ,380.94
5M-60W 50X14 WOW/AF ISLAND LT  ,                                        ,0,552.36,199.5,16,H7, ,7,56628608,14817574098,20566,F3193/5WOW/AF                           ,276.18
15C 60W 48X37 BRS CHANDELIER   ,                                        ,0,2045.4,920.43,16,HH, ,7,56630348,14817593723,20566,EC10015BBS                              ,1022.7
3M 60W 14X8 ES EXT FLUSH MOUNT ,                                        ,0,314.98,105,7,DG, ,4,56630520,14817580716,20566,OL7633ES                                ,127
2M 60W 24X9 PN/TXB BATH BRKT   ,                                        ,0,214.26,84.5,2,AQ, ,7,56630653,14817587609,20566,VS24403PN/TXB                           ,107.13
8C 60W 26X43 WOW/AF FOYER      ,                                        ,0,861.88,387.85,16,HO, ,7,56630893,14817579871,20566,F3194/8WOW/AF                           ,430.94
2M 60W 12X8 ORB BATH BRKT      ,                                        ,0,185.68,69.95,2,AP, ,7,56631049,14817580419,20566,VS24302ORB                              ,92.84
5C 60W 23X23 PN PENDANT        ,                                        ,0,695.2,293.95,16,HD, ,7,56631099,14817592535,20566,F3325/5PN                               ,347.6
14C 60W 34X9X12 BBS ISLAND LT  ,                                        ,0,1181.78,427.48,16,H7, ,8,56631346,14817597639,20566,EC10614BBS                              ,590.89
4C 60W 14X13 PN SEMI FLUSH     ,                                        ,0,380.92,159.95,13,F1, ,7,56631536,14817592566,20566,SF350PN                                 ,131.96
8C-60W 48X30 IRON LINEAR CHANDL,                                        ,0,954.52,399.5,16,H9, ,7,56631586,14817604924,20566,CC1368AI                                ,477.26
8C 60W 32X19 AI CHANDELIER     ,                                        ,0,1029.97,400,16,H4, ,4,56631718,14817592252,20566,F3291/8AI                               ,400
